First Name,Last Name,District,Party,Municipalities,Counties,House,Email,Phone,Co-sponsored Bills,2024 YES Vote,Notes
Jarrett,Coleman,SD16,Republican,"Allentown, Quakertown, Lower Macungie Township, Dublin, Sellersville","Lehigh, Bucks",Senate,,,Y,,
Frank,Farry,SD6,Republican,"Langhorne, Bensalem Township, Middletown Township, Warminster Township",Bucks,Senate,,,,,
Wayne,Langerholc,SD35,Republican,"Johnstown, Cambria Township, Adams Township","Cambria, Centre, Clearfield",Senate,,,,,
Nikil,Saval,SD1,Democratic,Philadelphia,Philadelphia,Senate,,,Y,,
Wayne,Fontana,SD42,Democratic,Pittsburgh,Allegheny,Senate,,,,,
Nick,Miller,SD14,Democratic,"Allentown, Catasauqua, Emmaus, Northampton",Lehigh,Senate,,,,,Senate Dem Caucus Policy Chair
Sharif,Street,SD3,Democratic,Philadelphia,Philadelphia,Senate,,,,,
,,,,,,,,,,,
Senate Local Government Committee,,,,,,,,,,,
Dawn,Keefer,SD31,Republican,"Mechanicsburg, York, Lower Allen Township","Cumberland, York",Senate,,,,,
Rosemary,Brown,SD40,Republican,"Carbondale, Honesdale, Jessup","Monroe, Lackawanna, Wayne",Senate,,,,,
Lynda,Schlegel-Culver,SD27,Republican,Bloomsberg ,"Columbia, Luzerne, Montour, Northumberland, Snyder",Senate,,,,,
Cris,Dush,SD25,Republican,"State College, Unionville, Bellefonte","Cameron, Centre, Clinton, Elk, Jefferson, McKean, Potter",Senate,,,,,
Scott,Hutchinson,SD21,Republican,"Butler, Butler Township, Slippery Rock","Butler, Clarion, Erie, Forest, Venango, Warren",Senate,,,Y,,
Doug,Mastriano,SD33,Republican,"Gettysburg, Chambersburg","Franklin, Adams",Senate,,,,,
Patty,Kim,SD15,Democratic,"Harrisburg, Susquehanna Township, Swatara Township",Dauphin,Senate,,,,,
Carolyn,Comitta,SD19,Democratic,"Coatesville, West Chester, Malvern",Chester,Senate,,,,,
Wayne,Fontana,SD42,Democratic,Pittsburgh,Allegheny,Senate,,,,,
Tim,Kearney,SD26,Democratic,"Swarthmore, Media, Ridley Park, Lansdowne",Delaware,Senate,,,Y,,
,,,,,,,,,,,
House Transportation Committee,,,,,,,,,,,
Ed ,Neilson,HD174,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Anthony,Bellmon,HD203,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Gina,Curry,HD164,Democratic,"Upper Darby, Lansdowne, East Lansdowne, Millbourne",Delaware,General Assembly,,,,,
Manuel,Guzman,HD127,Democratic,Reading,Berks,General Assembly,,,,,
Joe,Hohenstein,HD177,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Mary,Isaacson,HD175,Democratic,Philadelphia,Philadelphia,General Assembly,,,,,
Dave,Madsen,HD104,Democratic,"Harrisburg, Swatara Township",Dauphin,General Assembly,,,,,
Joe,McAndrew,HD32,Democratic,"Oakmont, Plum, Verona, Penn Hills Township",Allegheny,General Assembly,,,,,
Kyle,Mullins,HD112,Democratic,"Carbondale, Archbald, Blakely, Dunmore, Jermyn, Jessup, Mayfield, Olyphant, Throop, Vandling",Lackawanna,General Assembly,,,,,
Jen,O'Mara,HD165,Democratic,"Media, Morton, Swarthmore, Marple Township, Upper Providence Township, Springfield Township",Delaware,General Assembly,,,,,
Lindsay,Powell,HD21,Democratic,"Pittsburgh, Millvale, Etna",Allegheny,General Assembly,,,,,
Christina,Sappey,HD158,Democratic,"Kennett Square, Avondale, East Marlborough Township",Chester,General Assembly,,,,,
Melissa,Shusterman,HD157,Democratic,"Easttown Township, Schuylkill Township, Tredyffrin Township, Willistown Township",Chester,General Assembly,,,,,
Josh,Siegel,HD22,Democratic,"Allentown, Salisbury Township",Lehigh,General Assembly,,,,,
Kerry,Benninghoff,HD171,Republican,"Bellefonte, Centre Hall, Millheim, Juniata Terrace, Lewistown",Centre,General Assembly,,,,,
Aaron,Bernstine,HD8,Republican,"Connoquenessing, Portersville, Prospect, West Liberty, West Sunbury, Ellport, Elwood City","Butler, Lawrence",General Assembly,,,,,
Eric,Davanzo,HD58,Republican,"Monessen, East Huntingdon Township, Mount Pleasant Township, North Huntingdon, Sewickley Township",Westmoreland,General Assembly,,,,,
Ann,Flood,HD138,Republican,"Forks Township, Lower Mount Bethel Township, Bushkill Township, Moore Township, Bangor, East Bangor, Pen Argyl, Stockertown, Wind Gap",Northampton,General Assembly,,,,,
Joe,Hamm,HD84,Republican,"Hughesville, Jersey Shore, Montoursville, Muncy, Picture Rocks, Salladasburg","Lycoming, Sullivan",General Assembly,,,,,
Shelby,Labs,HD143,Republican,"Dublin, Perkasie, Sellersville, Silverdale, Bedminster Township, Hilltown Township, New Britain Township, Plumstead Township, Tinicum Township",Bucks,General Assembly,,,,,
Alec,Ryncavage,HD119,Republican,"Nanticoke, Hanover Township, Plymouth Township",Luzerne,General Assembly,,,,,
Donna,Scheuren,HD147,Republican,"Douglass Township, Franconia Township, Lower Frederick Township, Lower Salford Township, New Hanover Township, Upper Frederick Township, Upper Pottsgrove Township, Upper Salford Township",Montgomery,General Assembly,,,,,
Lou,Schmitt,HD79,Republican,"Altoona , Allegheny Township, Logan Township, Tunnelhill",Blair,General Assembly,,,,,
Brian,Smith,HD66,Republican,"Cherry Tree, Ernest, Glen Campbell, Marion Center, Plumville, Smicksburg, Banks Township, Canoe Township, East Mahoning Township, Grant Township, Green Township, Montgomery, Township North Mahoning Township, Rayne Township, South Mahoning Township, West Mahoning Township ","Indiana, Jefferson",General Assembly,,,,,
Perry,Stambaugh,HD86,Republican,"Mifflin, Mifflintown, Port Royal, Thompsontown, Susquehanna Township","Juniata, Perry",General Assembly,,,,,
K.C.,Tomlinson,HD18,Republican,Bensalem Township,Bucks,General Assembly,,,,,
,,,,,,,,,,,
Senate Transportation Committee,,,,,,,,,,,
,,,,,,,,,,,
Judy,Ward,SD30,Republican,"Altoona, Franklin Township, Juniata Township","Blair, Fulton, Huntingdon, Juniata, Mifflin",Senate,,,,,
Devlin,Robinson,SD37,Republican,"Sewickley, Bethlel Park, Glenfield",Allegheny,Senate,,,,,
Camera,Bartolotta,SD46,Republican,Hanover Township,"Beaver, Washington, Greene",Senate,,,,,
Rosemary,Brown,SD40,Republican,"Carbondale, Honesdale, Jessup","Monroe, Lackawanna, Wayne",Senate,,,,,
Wayne,Langerholc,SD35,Republican,"Johnstown, Cambria Township, Adams Township","Cambria, Centre, Clearfield",Senate,,,,,
Greg,Rothman,SD34,Republican,"Carlisle, Shippensburg","Cumberland, Dauphin, Perry",Senate,,,,,
Pat,Stefano,SD32,Republican,"Uniontown, Masontown, Shanksville, Somerset, Bedford","Fayette, Somerset, Bedford, Westmoreland",Senate,,,,,
Elder,Vogel,SD47,Republican,"Aliquippa, Beaver Falls, ","Beaver, Butler, Lawrence",Senate,,,,,
Marty,Flynn,SD22,Democratic,"Scranton, Pittston, Wilkes-Barre","Lackawanna, Luzerne",Senate,,,,,
Tim,Kearney,SD26,Democratic,"Swarthmore, Media, Ridley Park, Lansdowne",Delaware,Senate,,,,,
Nick,Miller,SD14,Democratic,"Allentown, Catasauqua, Emmaus, Northampton",Lehigh,Senate,,,,,Senate Dem Caucus Policy Chair
Nikil,Saval,SD1,Democratic,Philadelphia,Philadelphia,Senate,,,,,
Lindsey,Williams,SD38,Democratic,"Pittsburgh, McCandless Township",Allegheny,Senate,,,,,
